relativeK2,improvementMin,absOk,femaleMean,femaleMedian,maleMean,maleMedian,secondPass,secondTotal,thirdPass,thirdTotal,subLocks,nFemale,nMale,nullCount
0.200000,0.001000,0.050000,17.780100,4.625026,24.682887,2.583282,5,5,4,4,26,564,519,33
0.200000,0.001000,0.100000,16.813299,4.625026,13.531982,2.555037,5,5,4,4,31,564,519,33
0.200000,0.001000,0.150000,16.650632,4.625026,10.100164,2.503238,5,5,4,4,33,564,519,33
0.200000,0.003000,0.050000,17.780100,4.625026,24.682887,2.583282,5,5,4,4,26,564,519,33
0.200000,0.003000,0.100000,16.813299,4.625026,13.531982,2.555037,5,5,4,4,31,564,519,33
0.200000,0.003000,0.150000,16.650632,4.625026,10.100164,2.503238,5,5,4,4,33,564,519,33
0.200000,0.010000,0.050000,17.578627,4.588993,24.682887,2.583282,5,5,4,4,25,564,519,33
0.200000,0.010000,0.100000,16.957494,4.588993,13.531982,2.555037,5,5,4,4,30,564,519,33
0.200000,0.010000,0.150000,16.794827,4.588993,10.100164,2.503238,5,5,4,4,32,564,519,33
0.200000,0.030000,0.050000,19.103920,4.625026,24.682887,2.583282,5,5,4,4,21,564,519,33
0.200000,0.030000,0.100000,18.971577,4.625026,14.313927,2.555037,5,5,4,4,24,564,519,33
0.200000,0.030000,0.150000,18.808910,4.625026,11.318913,2.503238,5,5,4,4,26,564,519,33
0.250000,0.001000,0.050000,17.245674,4.588993,24.682887,2.583282,5,5,4,4,24,564,519,33
0.250000,0.001000,0.100000,16.278872,4.588993,13.531982,2.555037,5,5,4,4,29,564,519,33
0.250000,0.001000,0.150000,16.116205,4.588993,10.100164,2.503238,5,5,4,4,31,564,519,33
0.250000,0.003000,0.050000,17.245674,4.588993,24.682887,2.583282,5,5,4,4,24,564,519,33
0.250000,0.003000,0.100000,16.278872,4.588993,13.531982,2.555037,5,5,4,4,29,564,519,33
0.250000,0.003000,0.150000,16.116205,4.588993,10.100164,2.503238,5,5,4,4,31,564,519,33
0.250000,0.010000,0.050000,17.044201,4.554013,24.682887,2.583282,5,5,4,4,23,564,519,33
0.250000,0.010000,0.100000,16.423067,4.554013,13.531982,2.555037,5,5,4,4,28,564,519,33
0.250000,0.010000,0.150000,16.260400,4.554013,10.100164,2.503238,5,5,4,4,30,564,519,33
0.250000,0.030000,0.050000,18.750574,4.588993,24.682887,2.583282,5,5,4,4,20,564,519,33
0.250000,0.030000,0.100000,18.618231,4.588993,14.313927,2.555037,5,5,4,4,23,564,519,33
0.250000,0.030000,0.150000,18.455564,4.588993,11.318913,2.503238,5,5,4,4,25,564,519,33
0.300000,0.001000,0.050000,16.985238,4.625026,24.544300,2.583282,5,5,4,4,26,564,519,33
0.300000,0.001000,0.100000,16.364105,4.625026,13.531028,2.555037,5,5,4,4,30,564,519,33
0.300000,0.001000,0.150000,16.201438,4.625026,10.099210,2.503238,5,5,4,4,32,564,519,33
0.300000,0.003000,0.050000,16.985238,4.625026,24.544300,2.583282,5,5,4,4,26,564,519,33
0.300000,0.003000,0.100000,16.364105,4.625026,13.531028,2.555037,5,5,4,4,30,564,519,33
0.300000,0.003000,0.150000,16.201438,4.625026,10.099210,2.503238,5,5,4,4,32,564,519,33
0.300000,0.010000,0.050000,16.783765,4.588993,24.544300,2.583282,5,5,4,4,25,564,519,33
0.300000,0.010000,0.100000,16.162632,4.588993,13.531028,2.555037,5,5,4,4,29,564,519,33
0.300000,0.010000,0.150000,15.999965,4.588993,10.099210,2.503238,5,5,4,4,31,564,519,33
0.300000,0.030000,0.050000,18.019965,4.588993,24.544300,2.583282,5,5,4,4,22,564,519,33
0.300000,0.030000,0.100000,17.887622,4.588993,14.312973,2.555037,5,5,4,4,24,564,519,33
0.300000,0.030000,0.150000,17.724955,4.588993,11.317959,2.503238,5,5,4,4,26,564,519,33
0.350000,0.001000,0.050000,16.784047,4.625026,24.211826,2.583282,5,5,4,4,25,564,519,33
0.350000,0.001000,0.100000,16.369811,4.625026,13.418410,2.555037,5,5,4,4,29,564,519,33
0.350000,0.001000,0.150000,16.207144,4.625026,9.986592,2.503238,5,5,4,4,31,564,519,33
0.350000,0.003000,0.050000,16.784047,4.625026,24.211826,2.583282,5,5,4,4,25,564,519,33
0.350000,0.003000,0.100000,16.369811,4.625026,13.418410,2.555037,5,5,4,4,29,564,519,33
0.350000,0.003000,0.150000,16.207144,4.625026,9.986592,2.503238,5,5,4,4,31,564,519,33
0.350000,0.010000,0.050000,16.582574,4.588993,24.211826,2.583282,5,5,4,4,24,564,519,33
0.350000,0.010000,0.100000,16.168338,4.588993,13.418410,2.555037,5,5,4,4,28,564,519,33
0.350000,0.010000,0.150000,16.005671,4.588993,9.986592,2.503238,5,5,4,4,30,564,519,33
0.350000,0.030000,0.050000,17.571733,4.588993,24.211826,2.583282,5,5,4,4,22,564,519,33
0.350000,0.030000,0.100000,17.646289,4.588993,14.200356,2.555037,5,5,4,4,24,564,519,33
0.350000,0.030000,0.150000,17.483622,4.588993,11.205342,2.503238,5,5,4,4,26,564,519,33
0.400000,0.001000,0.050000,16.052486,4.798703,24.211826,2.583282,5,5,4,4,30,564,519,33
0.400000,0.001000,0.100000,15.940443,4.798703,13.418410,2.555037,5,5,4,4,31,564,519,33
0.400000,0.001000,0.150000,15.777776,4.798703,9.986592,2.503238,5,5,4,4,33,564,519,33
0.400000,0.003000,0.050000,16.052486,4.798703,24.211826,2.583282,5,5,4,4,30,564,519,33
0.400000,0.003000,0.100000,15.940443,4.798703,13.418410,2.555037,5,5,4,4,31,564,519,33
0.400000,0.003000,0.150000,15.777776,4.798703,9.986592,2.503238,5,5,4,4,33,564,519,33
0.400000,0.010000,0.050000,15.238788,4.625026,24.211826,2.583282,5,5,4,4,26,564,519,33
0.400000,0.010000,0.100000,15.126745,4.625026,13.418410,2.555037,5,5,4,4,27,564,519,33
0.400000,0.010000,0.150000,14.964078,4.625026,9.986592,2.503238,5,5,4,4,29,564,519,33
0.400000,0.030000,0.050000,16.660314,4.554013,24.211826,2.583282,5,5,4,4,22,564,519,33
0.400000,0.030000,0.100000,16.548271,4.554013,14.200356,2.555037,5,5,4,4,23,564,519,33
0.400000,0.030000,0.150000,16.385604,4.554013,11.205342,2.503238,5,5,4,4,25,564,519,33
0.450000,0.001000,0.050000,15.993828,4.849888,24.211826,2.583282,5,5,4,4,32,564,519,33
0.450000,0.001000,0.100000,15.881785,4.849888,13.146748,2.555037,5,5,4,4,33,564,519,33
0.450000,0.001000,0.150000,15.719118,4.849888,9.839324,2.503238,5,5,4,4,34,564,519,33
0.450000,0.003000,0.050000,15.993828,4.849888,24.211826,2.583282,5,5,4,4,32,564,519,33
0.450000,0.003000,0.100000,15.881785,4.849888,13.146748,2.555037,5,5,4,4,33,564,519,33
0.450000,0.003000,0.150000,15.719118,4.849888,9.839324,2.503238,5,5,4,4,34,564,519,33
0.450000,0.010000,0.050000,14.987136,4.743156,24.211826,2.583282,5,5,4,4,27,564,519,33
0.450000,0.010000,0.100000,14.875093,4.743156,13.146748,2.555037,5,5,4,4,28,564,519,33
0.450000,0.010000,0.150000,14.712426,4.743156,9.839324,2.503238,5,5,4,4,29,564,519,33
0.450000,0.030000,0.050000,16.660314,4.554013,24.211826,2.583282,5,5,4,4,22,564,519,33
0.450000,0.030000,0.100000,16.548271,4.554013,13.928693,2.555037,5,5,4,4,23,564,519,33
0.450000,0.030000,0.150000,16.385604,4.554013,11.058073,2.503238,5,5,4,4,24,564,519,33
0.500000,0.001000,0.050000,15.650723,4.827010,24.211826,2.583282,5,5,4,4,34,564,519,33
0.500000,0.001000,0.100000,15.538680,4.827010,13.146748,2.555037,5,5,4,4,35,564,519,33
0.500000,0.001000,0.150000,15.376013,4.827010,9.839324,2.503238,5,5,4,4,36,564,519,33
0.500000,0.003000,0.050000,15.650723,4.827010,24.211826,2.583282,5,5,4,4,34,564,519,33
0.500000,0.003000,0.100000,15.538680,4.827010,13.146748,2.555037,5,5,4,4,35,564,519,33
0.500000,0.003000,0.150000,15.376013,4.827010,9.839324,2.503238,5,5,4,4,36,564,519,33
0.500000,0.010000,0.050000,14.427018,4.625026,24.211826,2.583282,5,5,4,4,28,564,519,33
0.500000,0.010000,0.100000,14.314974,4.625026,13.146748,2.555037,5,5,4,4,29,564,519,33
0.500000,0.010000,0.150000,14.152308,4.625026,9.839324,2.503238,5,5,4,4,30,564,519,33
0.500000,0.030000,0.050000,16.306629,4.554013,24.211826,2.583282,5,5,4,4,22,564,519,33
0.500000,0.030000,0.100000,16.194586,4.554013,13.928693,2.555037,5,5,4,4,23,564,519,33
0.500000,0.030000,0.150000,16.031919,4.554013,11.058073,2.503238,5,5,4,4,24,564,519,33
